test_type,issue_id,zip,module,preceding_test,flaky_test,iterations,config,javav,nondexSeed,url,whole_run_time_seconds,llm_time_seconds_total,llm_num_calls,llm_input_tokens_total,llm_output_tokens_total,llm_total_tokens_total,llm_input_tokens_by_call,llm_output_tokens_by_call,llm_total_tokens_by_call
nio,quickcheckc1c2,quickcheckc1c,core,,com.pholser.junit.quickcheck.EnumPropertyParameterTypesTest#usesRegularTrialCount,10,All,8,,https://zenodo.org/records/18605131/files/quickcheckc1c.zip,370.717,17.62,2,9186,1031,10217,4028|5158,465|566,4493|5724
nio,quickcheck9a0,quickcheck9a0,core,,com.pholser.junit.quickcheck.PropertiesWithExplicitGeneratorsTest#explicitGeneratorTakesPrecedence,10,All,8,,https://zenodo.org/records/18605131/files/quickcheck9a0.zip,390.592,15.357,2,22418,810,23228,10660|11758,433|377,11093|12135
nio,elasticjob003,elasticjob003,elasticjob-ecosystem/elasticjob-tracing/elasticjob-tracing-rdb,,org.apache.shardingsphere.elasticjob.tracing.rdb.storage.RDBJobEventStorageTest#assertAddJobStatusTraceEventWhenFailoverWithTaskFailedState,10,All,8,,https://zenodo.org/records/18634501/files/elasticjob003.zip,338.883,17.483,2,15101,1003,16104,6960|8141,516|487,7476|8628
nio,elasticjob294,elasticjob294,elasticjob-infra/elasticjob-infra-common,,org.apache.shardingsphere.elasticjob.infra.json.GsonFactoryTest#assertRegisterTypeAdapter,10,All,8,,https://zenodo.org/records/18634501/files/elasticjob294.zip,2397.351,326.619,22,112673,23193,135866,3620|4868|4868|4868|4249|4979|4979|4979|4947|4993|4993|4993|5659|4978|4978|4978|6356|5312|5312|5312|7387|5065,583|919|926|857|694|802|800|782|708|1038|1011|1036|693|1471|1031|1477|1027|2457|1476|2000|780|625,4203|5787|5794|5725|4943|5781|5779|5761|5655|6031|6004|6029|6352|6449|6009|6455|7383|7769|6788|7312|8167|5690
nio,elasticjobf0d,elasticjobf0d,elastic-job-lite-core,,io.elasticjob.lite.reg.zookeeper.ZookeeperRegistryCenterModifyTest#assertPersistSequential,10,All,8,,https://zenodo.org/records/18634501/files/elasticjobf0d.zip,1612.103,145.163,10,74521,9545,84066,6407|7645|7645|7645|7026|7617|7617|7617|7575|7727,573|1437|1432|1432|545|935|1017|955|655|564,6980|9082|9077|9077|7571|8552|8634|8572|8230|8291
