test_type,issue_id,zip,module,preceding_test,flaky_test,iterations,config,javav,nondexSeed,url,whole_run_time_seconds,llm_time_seconds_total,llm_num_calls,llm_input_tokens_total,llm_output_tokens_total,llm_total_tokens_total,llm_input_tokens_by_call,llm_output_tokens_by_call,llm_total_tokens_by_call
td,BOOKKEEPER-846,BOOKKEEPER-846,bookkeeper-server,,org.apache.bookkeeper.client.TestLedgerChecker#testShouldGetTwoFrgamentsIfTwoBookiesFailedInSameEnsemble,100,All,8,,https://zenodo.org/records/18474558/files/BOOKKEEPER-846.zip,2081.302,397.29,35,445728,22037,467765,2232|1110|1583|16337|17458|17458|17458|16839|17545|17545|17545|2232|1110|1932|2925|17386|17729|17729|17729|18117|17617|17617|17617|2232|1110|1932|2928|18736|17666|17666|17666|19404|17846|17846|17846,333|256|385|456|287|309|286|543|790|845|859|392|386|163|313|727|525|614|606|615|754|753|740|336|449|313|292|664|1277|1133|1221|844|1204|1198|1169,2565|1366|1968|16793|17745|17767|17744|17382|18335|18390|18404|2624|1496|2095|3238|18113|18254|18343|18335|18732|18371|18370|18357|2568|1559|2245|3220|19400|18943|18799|18887|20248|19050|19044|19015
td,BOOKKEEPER-709,BOOKKEEPER-709,bookkeeper-server,,org.apache.bookkeeper.client.SlowBookieTest#testSlowBookie,100,All,8,,https://zenodo.org/records/18474558/files/BOOKKEEPER-709.zip,1783.625,435.554,27,241924,29946,271870,1043|8348|9715|9715|9715|9096|9703|9703|9703|1043|9790|9663|9663|9663|10444|9939|9939|9939|1043|11374|10024|10024|10024|12389|10074|10074|10074,279|702|409|407|409|690|4096|4096|4096|375|650|482|493|499|926|2409|822|1875|466|1011|662|629|622|1061|598|593|589,1322|9050|10124|10122|10124|9786|13799|13799|13799|1418|10440|10145|10156|10162|11370|12348|10761|11814|1509|12385|10686|10653|10646|13450|10672|10667|10663
td,HBASE-27051,HBASE-27051,hbase-server,,org.apache.hadoop.hbase.replication.regionserver.TestReplicationSource#testReplicationSourceInitializingMetric,100,All,8,,https://zenodo.org/records/18474558/files/HBASE-27051.zip,417.087,39.617,4,55320,2161,57481,2194|1342|25214|26570,338|235|691|897,2532|1577|25905|27467
td,COLLECTIONS-812,COLLECTIONS-812,.,,org.apache.commons.collections4.properties.EmptyPropertiesTest#testSave,100,All,8,,https://zenodo.org/records/18474558/files/COLLECTIONS-812.zip,145.227,27.452,2,23620,1570,25190,11238|12382,479|1091,11717|13473
td,ZOOKEEPER-4327-testGlobalOutstandingRequestThrottlingWithRequestThrottlerDisabled,ZOOKEEPER-4327,zookeeper-server,,org.apache.zookeeper.server.RequestThrottlerTest#testGlobalOutstandingRequestThrottlingWithRequestThrottlerDisabled,100,All,8,,https://zenodo.org/records/18474558/files/ZOOKEEPER-4327.zip,451.88,56.584,6,35212,2682,37894,1600|3762|1044|2153|12667|13986,553|319|388|100|654|668,2153|4081|1432|2253|13321|14654
